Compound,Count,Date,Negative,Neutral,Positive,Tweet,User
-0.599,1,Sun Sep 30 08:30:16 +0000 2018,0.698,0.302,0.0,RT @BBCWorld: Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4,BBC
0.0,2,Sun Sep 30 07:31:05 +0000 2018,0.752,0.124,0.124,"For children with autism, the stress of taking photos can be overwhelming. To make things easier, eight-year-old Le… https://t.co/U3hpweRK0D",BBC
0.586,3,Sun Sep 30 07:04:02 +0000 2018,0.774,0.0,0.226,"This. Is. Amazing. 😮

Introducing the World Pole Climbing Championships...

https://t.co/osulkhFFhQ",BBC
0.422,4,Sat Sep 29 20:32:03 +0000 2018,0.743,0.0,0.257,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,BBC
0.422,5,Sat Sep 29 17:02:12 +0000 2018,0.865,0.0,0.135,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,BBC
-0.7,6,Sat Sep 29 16:01:07 +0000 2018,0.707,0.293,0.0,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",BBC
0.55,7,Sat Sep 29 15:54:38 +0000 2018,0.871,0.0,0.129,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",BBC
0.709,8,Sat Sep 29 15:02:04 +0000 2018,0.671,0.0,0.329,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",BBC
0.0,9,Sat Sep 29 14:03:07 +0000 2018,1.0,0.0,0.0,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",BBC
-0.526,10,Sat Sep 29 13:01:07 +0000 2018,0.747,0.253,0.0,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",BBC
-0.186,11,Sat Sep 29 11:03:02 +0000 2018,0.616,0.227,0.156,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",BBC
0.494,12,Sat Sep 29 10:03:05 +0000 2018,0.819,0.0,0.181,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",BBC
-0.527,13,Sat Sep 29 09:01:02 +0000 2018,0.746,0.254,0.0,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",BBC
0.681,14,Sat Sep 29 08:11:46 +0000 2018,0.763,0.0,0.237,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,BBC
-0.102,15,Sat Sep 29 08:05:03 +0000 2018,0.746,0.136,0.118,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",BBC
0.0,16,Sat Sep 29 07:03:06 +0000 2018,1.0,0.0,0.0,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",BBC
0.0,17,Sat Sep 29 06:31:00 +0000 2018,1.0,0.0,0.0,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",BBC
0.36,18,Fri Sep 28 20:31:03 +0000 2018,0.865,0.0,0.135,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",BBC
-0.126,19,Fri Sep 28 18:32:03 +0000 2018,0.846,0.089,0.065,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",BBC
0.7,20,Fri Sep 28 16:03:07 +0000 2018,0.655,0.0,0.345,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA",BBC
-0.758,21,Thu Sep 27 11:03:03 +0000 2018,0.649,0.351,0.0,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",BBC
0.0,22,Thu Sep 27 10:44:32 +0000 2018,1.0,0.0,0.0,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",BBC
-0.475,23,Thu Sep 27 10:02:02 +0000 2018,0.846,0.154,0.0,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",BBC
